,SetCode,TsdnValue,error_percentage
0,0,0.558733378,0.9301488604780415
1,1,0.555847141,0.7697132295719818
2,2,0.555899197,0.7726068371317385
3,3,0.552633832,0.5910968315730968
4,4,0.544059898,0.11450239021678427
5,5,0.538694379,0.18374769316287337
6,6,0.538767682,0.1796730405780996
7,7,0.531988695,0.5564927737632033
