,SetCode,BandGapValue,error_percentage
0,15,1.79441682,0.254762645914398
1,14,1.80046956,0.08168760422457431
2,13,1.80643019,0.41301778765981123
3,12,1.81249773,0.7502907170650416
4,11,1.81845196,1.0812651473040604
5,10,1.82449882,1.4173885491940046
6,9,1.83047752,1.7497231795441996
7,8,1.83652044,2.0856275708727066
8,0,1.78830277,0.5946209005002718
9,1,1.78236595,0.9246275708727045
10,2,1.77629602,1.2620333518621434
11,3,1.77031489,1.5945030572540215
12,4,1.76437244,1.924822679266253
13,5,1.75835851,2.2591156197887625
14,6,1.75220086,2.601397443023894
15,7,1.74621117,2.9343429683157254
