,SetCode,BandGapValue,error_percentage
0,15,1.81552053,0.9183173985547515
1,14,1.82162081,1.257410227904394
2,13,1.82765363,1.5927531962201216
3,12,1.83379278,1.9340066703724335
4,11,1.83987248,2.271955530850472
5,10,1.8459437,2.609433018343532
6,9,1.85202022,2.9472051139521995
7,8,1.85800784,3.2800355753196238
8,0,1.80943956,0.5802979433018352
9,1,1.80336114,0.2424202334630404
10,2,1.79724063,0.09779710950528282
11,3,1.79110617,0.438789883268482
12,4,1.78498856,0.7788460255697602
13,5,1.77895665,1.114138410227899
14,6,1.77282501,1.4549744302390162
15,7,1.76673838,1.7933085047248405
