,SetCode,BandGapValue,error_percentage
0,15,1.83771486,2.1520211228460266
1,14,1.84386371,2.4938137854363536
2,13,1.84995723,2.832530850472489
3,12,1.85611372,3.1747481934408026
4,11,1.86222298,3.514340188993894
5,10,1.86842542,3.8591117287381858
6,9,1.87456879,4.200599777654261
7,8,1.88064198,4.538186770428022
8,0,1.83158505,1.8112868260144528
9,1,1.82539383,1.4671389660922831
10,2,1.81926431,1.1264207893274139
11,3,1.81313374,0.7856442468037863
12,4,1.80696211,0.4425853251806572
13,5,1.80084206,0.10239355197331733
14,6,1.79467826,0.24023012784880285
15,7,1.78855106,0.5808193440800362
