,SetCode,BandGapValue,error_percentage
0,15,1.8358537,2.0485658699277374
1,14,1.84205982,2.3935419677598713
2,13,1.84814452,2.7317687604224585
3,12,1.85439903,3.0794346859366324
4,11,1.86043434,3.414916064480275
5,10,1.86662528,3.7590483602001177
6,9,1.87274313,4.099117843246248
7,8,1.87886679,4.439510283490833
8,0,1.8297581,1.709733185102842
9,1,1.82368569,1.3721895497498664
10,2,1.81750482,1.028617009449693
11,3,1.81143565,0.691253474152308
12,4,1.80522169,0.3458415786548114
13,5,1.79912202,0.00678265703168738
14,6,1.7929136,0.3383212896053266
15,7,1.78675992,0.6803824346859358
