,SetCode,BandGapValue,error_percentage
0,15,1.77603794,1.2763790994997224
1,14,1.78193006,0.948857142857134
2,13,1.78795237,0.6140983879933283
3,12,1.79384786,0.286389105058358
4,11,1.79984123,0.04676097832129106
5,10,1.80574755,0.3750722623679848
6,9,1.81177433,0.7100794886047835
7,8,1.81766553,1.0375503057254054
8,0,1.77014434,1.6039833240689183
9,1,1.76409776,1.9400911617565237
10,2,1.75817585,2.2692690383546386
11,3,1.75221162,2.600799332962755
12,4,1.74628729,2.9301117287381877
13,5,1.74033222,3.2611328515842106
14,6,1.73438998,3.5914408004446883
15,7,1.72836745,3.9262117843246256
