,SetCode,BandGapValue,error_percentage
0,15,1.78207177,0.940979988882712
1,14,1.78805231,0.6085430794885961
2,13,1.79407195,0.2739327404113375
3,12,1.80001214,0.05626125625347695
4,11,1.8059537,0.3865314063368635
5,10,1.81198533,0.7218082267926635
6,9,1.81790798,1.051027237354088
7,8,1.8238784,1.3829016120066686
8,0,1.77613954,1.2707315175097262
9,1,1.77024908,1.5981612006670378
10,2,1.76417701,1.9356859366314556
11,3,1.75822054,2.26678488048916
12,4,1.75231785,2.5948943857698645
13,5,1.74625931,2.9316670372429146
14,6,1.74029048,3.2634530294608033
15,7,1.73430706,3.5960500277932206
