,SetCode,BandGapValue,error_percentage
0,15,1.82976876,1.7103257365202986
1,14,1.83597516,2.055317398554759
2,13,1.84208474,2.3949271817676525
3,12,1.84820808,2.735301834352424
4,11,1.8542952,3.0736631461923283
5,10,1.86038245,3.4120316842690372
6,9,1.86653032,3.7537698721512034
7,8,1.87268033,4.095627015008336
8,0,1.82370198,1.373095052807122
9,1,1.81759234,1.0334819344080097
10,2,1.8114687,0.6930906058921685
11,3,1.80534088,0.35246692607003854
12,4,1.7991755,0.009755419677604566
13,5,1.79306584,0.3298588104502514
14,6,1.78696194,0.6691528627014925
15,7,1.78074514,1.014722623679815
