,SetCode,BandGapValue,error_percentage
0,15,1.81385155,0.8255447470817209
1,14,1.81994383,1.1641928849360754
2,13,1.8259688,1.499099499722075
3,12,1.83204025,1.8365897720956081
4,11,1.83811234,2.1741156197887697
5,10,1.84414262,2.509317398554754
6,9,1.85022398,2.847358532518069
7,8,1.85630912,3.185609783212896
8,0,1.80771814,0.48461033907726747
9,1,1.80166506,0.1481411895497497
10,2,1.79557527,0.19036853807670237
11,3,1.78946498,0.5300177876598082
12,4,1.78343646,0.8651217342968339
13,5,1.77730499,1.205948304613672
14,6,1.77130183,1.5396425792106645
15,7,1.76518105,1.8798749305169487
