,SetCode,BandGapValue,error_percentage
0,15,1.82559137,1.4781195108393554
1,14,1.83162376,1.8134385769872214
2,13,1.8378167,2.1576820455808865
3,12,1.84388092,2.494770428015564
4,11,1.85001618,2.8358076709282916
5,10,1.85618278,3.1785869927737624
6,9,1.86227634,3.517306281267373
7,8,1.86830723,3.8525419677598762
8,0,1.81949302,1.1391339633129502
9,1,1.81328076,0.7938165647582054
10,2,1.80717319,0.4543185102834999
11,3,1.8010781,0.1155141745414165
12,4,1.79497885,0.2235214007782117
13,5,1.78887376,0.5628816008893804
14,6,1.78274473,0.9035725403001569
15,7,1.77658751,1.2458304613674267
