,SetCode,BandGapValue,error_percentage
0,15,1.83196803,1.8325753196220207
1,14,1.8381097,2.1739688715953323
2,13,1.8441514,2.509805447470827
3,12,1.85033005,2.853254585881046
4,11,1.85631625,3.1860061145080576
5,10,1.86251881,3.5307843246248
6,9,1.86861552,3.8696787103946724
7,8,1.87468922,4.207294052251257
8,0,1.82584304,1.4921089494163509
9,1,1.81984247,1.1585586436909427
10,2,1.81359161,0.8110956086714891
11,3,1.80755494,0.47553863257365264
12,4,1.80136374,0.13139188438021449
13,5,1.79529576,0.20590550305725547
14,6,1.7891932,0.5451250694830464
15,7,1.78302811,0.8878204558087759
