,SetCode,BandGapValue,error_percentage
0,15,1.79935084,0.019501945525295966
1,14,1.80535444,0.3532206781545282
2,13,1.81144656,0.6918599221789943
3,12,1.8173942,1.0224680377987847
4,11,1.82344906,1.3590361311839925
5,10,1.82944846,1.6925214007782168
6,9,1.83552564,2.030330183435243
7,8,1.84157418,2.3665469705391957
8,0,1.79335517,0.31377598665924533
9,1,1.78741521,0.6439571984435742
10,2,1.7812652,0.9858143413007192
11,3,1.77523861,1.3208110061145077
12,4,1.76919588,1.6567048360200045
13,5,1.76324912,1.9872640355753157
14,6,1.7571589,2.3257976653696417
15,7,1.75113628,2.6605736520288956
