,SetCode,BandGapValue,error_percentage
0,15,1.82061845,1.2016926070038947
1,14,1.82671947,1.540826570316847
2,13,1.83280001,1.8788221234018896
3,12,1.83887918,2.216741523068372
4,11,1.84497667,2.555679266259042
5,10,1.85114392,2.898494719288494
6,9,1.85719023,3.234587548638139
7,8,1.8632769,3.572923846581439
8,0,1.81453014,0.8632651473040623
9,1,1.80844021,0.5247476375764408
10,2,1.80242523,0.1903963312951733
11,3,1.79629404,0.15041467481933832
12,4,1.79016682,0.49100500277931547
13,5,1.78403199,0.8320183435241818
14,6,1.77788827,1.1735258476931565
15,7,1.7718251,1.510555864369088
