,SetCode,BandGapValue,error_percentage
0,15,1.83668441,2.094742078932741
1,14,1.8429254,2.4416564758199
2,13,1.84902433,2.7806742634797144
3,12,1.85519017,3.123411339633132
4,11,1.86126936,3.4613318510283584
5,10,1.86737196,3.800553640911625
6,9,1.87353054,4.1428871595330765
7,8,1.87962637,4.481732629238469
8,0,1.83059007,1.755979433018345
9,1,1.82449356,1.4170961645358608
10,2,1.81837883,1.0772001111728715
11,3,1.81221809,0.7347465258476972
12,4,1.80604664,0.3916976097832125
13,5,1.79997776,0.05435019455253194
14,6,1.79384204,0.28671261812117943
15,7,1.78763786,0.6315808782656982
