,SetCode,BandGapValue,error_percentage
0,15,1.8382369,2.181039466370213
1,14,1.84431949,2.5191489716509183
2,13,1.85055514,2.865766536964984
3,12,1.85660699,3.2021673151750987
4,11,1.8627009,3.5409060589216326
5,10,1.8688534,3.8829016120066804
6,9,1.87496704,4.2227370761534235
7,8,1.88116792,4.567421901056146
8,0,1.83207918,1.8387537520844968
9,1,1.82594779,1.4979316286826092
10,2,1.81976079,1.1540183435241786
11,3,1.81370922,0.8176331295164023
12,4,1.80751985,0.4735881045025073
13,5,1.80134403,0.13029627570873617
14,6,1.79524398,0.20878376876042087
15,7,1.78904545,0.5533379655364096
