,SetCode,BandGapValue,error_percentage
0,15,1.83319353,1.9006964980544765
1,14,1.83927096,2.238519177320732
2,13,1.84539208,2.5787704280155737
3,12,1.85157202,2.922291272929414
4,11,1.85762024,3.2584902723735403
5,10,1.86378597,3.6012212340188974
6,9,1.86996116,3.944478043357419
7,8,1.87609067,4.285195664257923
8,0,1.82703707,1.5584808226792723
9,1,1.82090353,1.2175391884380276
10,2,1.81474682,0.8753096164535944
11,3,1.80865056,0.5364402445803271
12,4,1.8024715,0.19296831573096562
13,5,1.79637421,0.1459583101723158
14,6,1.79019951,0.48918788215674425
15,7,1.78402678,0.8323079488604725
