,SetCode,BandGapValue,error_percentage
0,15,1.83050024,1.7509861033907705
1,14,1.83663187,2.0918215675375214
2,13,1.84268548,2.4283201778766075
3,12,1.84883992,2.770423568649258
4,11,1.85499735,3.1126931628682697
5,10,1.86102334,3.4476564758199055
6,9,1.86724937,3.793739299610894
7,8,1.87335751,4.133269038354642
8,0,1.82448684,1.416722623679829
9,1,1.81837409,1.07693663146193
10,2,1.81217978,0.7326170094496929
11,3,1.80619354,0.39986325736520595
12,4,1.80002347,0.05689105058365906
13,5,1.79392775,0.2819483046136743
14,6,1.78778478,0.6234141189549733
15,7,1.78161658,0.9662823790995019
