,SetCode,BandGapValue
0,0,1.8064311
1,1,1.80702143
2,2,1.80766541
3,3,1.80838444
4,4,1.80916313
5,5,1.81005556
6,6,1.81103884
7,7,1.81214128
8,8,1.8133994
9,9,1.81481163
10,10,1.81648193
11,11,1.81842012
12,12,1.82069492
13,13,1.82342316
14,14,1.82674324
15,15,1.83092676
