,SetCode,BandGapValue
0,0,1.8003037
1,1,1.80075929
2,2,1.80128674
3,3,1.80188268
4,4,1.8025063
5,5,1.80324277
6,6,1.80404178
7,7,1.80494654
8,8,1.80599952
9,9,1.80718517
10,10,1.80853713
11,11,1.81010678
12,12,1.81199565
13,13,1.81420755
14,14,1.81696832
15,15,1.82040691
