,SetCode,BandGapValue
0,0,1.80149298
1,1,1.80197927
2,2,1.80252638
3,3,1.80314469
4,4,1.80380346
5,5,1.80457545
6,6,1.80542745
7,7,1.80636428
8,8,1.80741728
9,9,1.80862105
10,10,1.81006814
11,11,1.81175888
12,12,1.81369323
13,13,1.81600643
14,14,1.81885799
15,15,1.82245477
