,SetCode,BandGapValue
0,0,1.81006423
1,1,1.8107685
2,2,1.81157372
3,3,1.81249071
4,4,1.81348616
5,5,1.81462175
6,6,1.81588578
7,7,1.81732226
8,8,1.81893086
9,9,1.82073781
10,10,1.82286447
11,11,1.82535229
12,12,1.82825847
13,13,1.83172822
14,14,1.8360218
15,15,1.84131248
