,SetCode,BandGapValue
0,0,1.81047012
1,1,1.8111615
2,2,1.8119918
3,3,1.81288125
4,4,1.81383916
5,5,1.81492463
6,6,1.81616022
7,7,1.81754576
8,8,1.81911651
9,9,1.82088514
10,10,1.8229578
11,11,1.82535838
12,12,1.8281747
13,13,1.83155324
14,14,1.83572091
15,15,1.84091568
