,SetCode,BandGapValue
0,0,1.81028496
1,1,1.81093039
2,2,1.81168035
3,3,1.81252531
4,4,1.81345289
5,5,1.81449402
6,6,1.81566556
7,7,1.81696852
8,8,1.81844357
9,9,1.82011665
10,10,1.82209626
11,11,1.82434733
12,12,1.82703331
13,13,1.83024038
14,14,1.83416787
15,15,1.83908799
