,SetCode,BandGapValue
0,0,1.80279953
1,1,1.8032687
2,2,1.80386127
3,3,1.80451055
4,4,1.80518514
5,5,1.80596361
6,6,1.80681238
7,7,1.80782946
8,8,1.80892852
9,9,1.81021287
10,10,1.81170269
11,11,1.81343843
12,12,1.81545932
13,13,1.81789628
14,14,1.82088025
15,15,1.82462958
