,SetCode,BandGapValue
0,0,1.81050891
1,1,1.81115386
2,2,1.81193701
3,3,1.81280887
4,4,1.81376887
5,5,1.81483268
6,6,1.81601643
7,7,1.81738182
8,8,1.81888317
9,9,1.82062158
10,10,1.82263895
11,11,1.82496919
12,12,1.82772346
13,13,1.8310366
14,14,1.83507415
15,15,1.8401076
