,SetCode,BandGapValue
0,0,1.80525262
1,1,1.80579237
2,2,1.80641685
3,3,1.80708677
4,4,1.80787388
5,5,1.80871224
6,6,1.80967015
7,7,1.81071362
8,8,1.81193703
9,9,1.81331585
10,10,1.81491762
11,11,1.8167767
12,12,1.81893532
13,13,1.82157745
14,14,1.82479386
15,15,1.82882218
