,SetCode,BandGapValue
0,0,1.80729588
1,1,1.80783805
2,2,1.80851069
3,3,1.80926453
4,4,1.81011819
5,5,1.81099272
6,6,1.81198158
7,7,1.813186
8,8,1.81447276
9,9,1.81593367
10,10,1.81763284
11,11,1.81966311
12,12,1.82201405
13,13,1.82483473
14,14,1.82828222
15,15,1.83264269
