,SetCode,BandGapValue
0,0,1.8039202
1,1,1.804422
2,2,1.80500593
3,3,1.80567905
4,4,1.8064433
5,5,1.80723441
6,6,1.80814726
7,7,1.80917865
8,8,1.81035457
9,9,1.81165926
10,10,1.81321772
11,11,1.81500091
12,12,1.81713107
13,13,1.81965821
14,14,1.82276164
15,15,1.82667279
