,SetCode,BandGapValue
0,0,1.80821976
1,1,1.80883037
2,2,1.80952107
3,3,1.81026639
4,4,1.81111692
5,5,1.81207674
6,6,1.81311197
7,7,1.81428956
8,8,1.81565112
9,9,1.81718019
10,10,1.81896017
11,11,1.82100973
12,12,1.82347622
13,13,1.82641457
14,14,1.82995954
15,15,1.83441664
