,SetCode,BandGapValue
0,0,1.72195688
1,1,1.72421422
2,2,1.72693855
3,3,1.7299253
4,4,1.73323273
5,5,1.7368838
6,6,1.74095437
7,7,1.74549937
8,8,1.75071838
9,9,1.75658852
10,10,1.76361059
11,11,1.77151403
12,12,1.78094412
13,13,1.79219908
14,14,1.80586628
15,15,1.82311172
