,SetCode,BandGapValue
0,0,1.80914062
1,1,1.80973733
2,2,1.81046807
3,3,1.81124192
4,4,1.81212291
5,5,1.81308651
6,6,1.8141985
7,7,1.81541581
8,8,1.81681306
9,9,1.81839142
10,10,1.8202332
11,11,1.82235682
12,12,1.82488966
13,13,1.82788715
14,14,1.83159869
15,15,1.83621711
