,SetCode,BandGapValue
0,0,1.72406688
1,1,1.72646538
2,2,1.72918572
3,3,1.73210361
4,4,1.73544206
5,5,1.73902116
6,6,1.74313972
7,7,1.74762268
8,8,1.75285391
9,9,1.75876404
10,10,1.76550652
11,11,1.77340441
12,12,1.7828014
13,13,1.79397797
14,14,1.80764991
15,15,1.82460813
