,SetCode,BandGapValue
0,0,1.73155782
1,1,1.73379092
2,2,1.73643758
3,3,1.7394095
4,4,1.74255888
5,5,1.74615309
6,6,1.7500946
7,7,1.75450887
8,8,1.75959489
9,9,1.76528514
10,10,1.77204531
11,11,1.77975922
12,12,1.78892766
13,13,1.79972778
14,14,1.81314101
15,15,1.82973427
