,SetCode,BandGapValue
0,0,1.8098543
1,1,1.81049161
2,2,1.81122357
3,3,1.81202974
4,4,1.81295307
5,5,1.81394464
6,6,1.81506626
7,7,1.81633622
8,8,1.81775668
9,9,1.81940527
10,10,1.82128679
11,11,1.82351185
12,12,1.82613104
13,13,1.82921972
14,14,1.8330454
15,15,1.83781264
